id,uuid,response,latitude,longitude,displayed_at_UTC,recorded_at_UTC,prompt_num,displayed_at_epoch,recorded_at_epoch
104,C,Other shopping,43.669969,-79.33844,2018-05-23T12:43:28-04:00,2018-05-23T12:43:50-04:00,2,1527093808,1527093830
105,C,Car,43.66902,-79.348687,2018-05-23T19:59:29-04:00,2018-05-23T19:59:47-04:00,1,1527119969,1527119987
106,C,Returning home,43.66902,-79.348687,2018-05-23T19:59:29-04:00,2018-05-23T19:59:47-04:00,2,1527119969,1527119987
107,C,Walk,43.665993,-79.348448,2018-05-24T09:02:01-04:00,2018-05-24T09:09:43-04:00,1,1527166921,1527167383
108,C,Doing something for your family,43.665993,-79.348448,2018-05-24T09:02:01-04:00,2018-05-24T09:09:43-04:00,2,1527166921,1527167383
109,C,Walk,43.669141,-79.348867,2018-05-24T09:21:47-04:00,2018-05-24T09:21:57-04:00,1,1527168107,1527168117
110,C,Returning home,43.669141,-79.348867,2018-05-24T09:21:47-04:00,2018-05-24T09:21:57-04:00,2,1527168107,1527168117
111,C,Car,43.66555,-79.347522,2018-05-24T14:23:58-04:00,2018-05-24T14:24:09-04:00,1,1527186238,1527186249
112,C,Doing something for your family,43.66555,-79.347522,2018-05-24T14:23:58-04:00,2018-05-24T14:24:09-04:00,2,1527186238,1527186249
113,C,Car,43.704274,-79.412482,2018-05-24T14:56:26-04:00,2018-05-24T14:56:35-04:00,1,1527188186,1527188195
114,C,Doing something for your family,43.704274,-79.412482,2018-05-24T14:56:26-04:00,2018-05-24T14:56:35-04:00,2,1527188186,1527188195
115,C,Car,43.668945,-79.348816,2018-05-24T16:41:57-04:00,2018-05-24T16:43:17-04:00,1,1527194517,1527194597
116,C,Returning home,43.668945,-79.348816,2018-05-24T16:41:57-04:00,2018-05-24T16:43:17-04:00,2,1527194517,1527194597
117,C,Car + Public transit,43.744013,-79.394001,2018-05-25T18:01:55-04:00,2018-05-25T18:16:39-04:00,1,1527285715,1527286599
118,C,Social,43.744013,-79.394001,2018-05-25T18:01:55-04:00,2018-05-25T18:16:39-04:00,2,1527285715,1527286599
119,C,Car,43.669053,-79.348811,2018-05-25T20:38:00-04:00,2018-05-25T20:40:16-04:00,1,1527295080,1527295216
120,C,Returning home,43.669053,-79.348811,2018-05-25T20:38:00-04:00,2018-05-25T20:40:16-04:00,2,1527295080,1527295216
121,C,Walk,43.668863,-79.348589,2018-05-26T19:49:45-04:00,2018-05-26T19:49:53-04:00,1,1527378585,1527378593
122,C,Returning home,43.668863,-79.348589,2018-05-26T19:49:45-04:00,2018-05-26T19:49:53-04:00,2,1527378585,1527378593
123,C,Public transit,43.655252,-79.380714,2018-05-27T10:26:51-04:00,2018-05-27T10:59:32-04:00,1,1527431211,1527433172
124,C,Other shopping,43.655252,-79.380714,2018-05-27T10:26:51-04:00,2018-05-27T10:59:32-04:00,2,1527431211,1527433172
125,C,Walk,43.665314,-79.347174,2018-05-28T08:50:07-04:00,2018-05-28T08:53:30-04:00,1,1527511807,1527512010
126,C,Doing something for your family,43.665314,-79.347174,2018-05-28T08:50:07-04:00,2018-05-28T08:53:30-04:00,2,1527511807,1527512010
127,C,Walk,43.669086,-79.34883,2018-05-28T09:02:36-04:00,2018-05-28T09:09:19-04:00,1,1527512556,1527512959
128,C,Returning home,43.669086,-79.34883,2018-05-28T09:02:36-04:00,2018-05-28T09:09:19-04:00,2,1527512556,1527512959
129,C,Public transit,43.660284,-79.39417,2018-05-28T14:56:27-04:00,2018-05-28T15:57:02-04:00,1,1527533787,1527537422
130,C,Work-related,43.660284,-79.39417,2018-05-28T14:56:27-04:00,2018-05-28T15:57:02-04:00,2,1527533787,1527537422
131,C,Public transit,43.668838,-79.348399,2018-05-28T17:16:59-04:00,2018-05-28T17:17:17-04:00,1,1527542219,1527542237
132,C,Returning home,43.668838,-79.348399,2018-05-28T17:16:59-04:00,2018-05-28T17:17:17-04:00,2,1527542219,1527542237
133,C,Public transit,43.650234,-79.385377,2018-05-29T09:30:30-04:00,2018-05-29T09:45:15-04:00,1,1527600630,1527601515
134,C,Work-related,43.650234,-79.385377,2018-05-29T09:30:30-04:00,2018-05-29T09:45:15-04:00,2,1527600630,1527601515
135,C,Walk,43.650612,-79.383385,2018-05-29T12:42:20-04:00,2018-05-29T12:47:01-04:00,1,1527612140,1527612421
136,C,Meal or snack,43.650612,-79.383385,2018-05-29T12:42:20-04:00,2018-05-29T12:47:01-04:00,2,1527612140,1527612421
